Trace

0x00000000  brai    80
0x00000050  addik   r13, r0, 5920
0x00000054  addik   r2, r0, 5464
0x00000058  addik   r1, r0, 9256
0x0000005c  brlid   r15, 136
0x00000060  or      r0, r0, r0
0x000000e4  addi    r1, r1, -20
0x000000e8  sw      r15, r1, r0
0x000000ec  addi    r6, r0, 5680
0x000000f0  addi    r7, r0, 5680
0x000000f4  rsub    r18, r6, r7
0x000000f8  blei    r18, 20
0x0000010c  addi    r6, r0, 5680
0x00000110  addi    r7, r0, 8248
0x00000114  rsub    r18, r6, r7
0x00000118  blei    r18, 20
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
0x00000120  addi    r6, r6, 4
0x00000124  rsub    r18, r6, r7
0x00000128  bgti    r18, -12
0x0000011c  sw      r0, r6, r0
